PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010115;AMPLIFICADOR TRUE-SPEC MCM 30 S/CAJA              ;010115                                                      ;0,00 ; $ 101.600 ;0,00 
0010001010116;AMPLIFICADOR CANAL 9 PICO MACOM                   ;010116                                                      ;0,00 ; $ 194.900 ;0,00 
0010001010117;AMPLIFICADOR DE SEÑAL BLANCO UHF                  ;010117                                                      ;0,00 ; $ 10.100 ;0,00 
0010001010118;AMPLIFICADOR DE SEÑAL DALCO                       ;010118                                                      ;0,00 ; $ 8.700 ;0,00 
0010001010119;AMPLIFICADOR TB 212 / CPV-29810                   ;010119                                                      ;1,00 ; $ 15.900 ;8.849,11 
0010001010120;ARRESTOR TRU-SPEC                                 ;010120                                                      ;3,00 ; $ 3.600 ;6.963,00 
0010001010121;LNB 25 PARA ANTENA                                ;010121                                                      ;(2,00); $ 20.500 ;0,00 
0010001010122;PROCESADOR SEÑAL VIDEOWALL SX-VW02                ;010122                                                      ;0,00 ; $ 1.930.000 ;0,00 
0010001010150;DECODIFICADORES DIFERENTES CANALES PARA TV CABLE  ;010150                                                      ;0,00 ; $ 389.800 ;0,00 
0010001010201;BOOSTER 110 DB UHF/VHF                            ;010201                                                      ;0,00 ; $ 21.500 ;0,00 
0010001010202;BOOSTER TECHMAN TB-3SV                            ;010202                                                      ;0,00 ; $ 33.000 ;0,00 
0010001010203;BOOSTER TECH TB 6000                              ;010203                                                      ;1,00 ; $ 32.800 ;21.220,00 
0010001010204;BOOSTER 55 DB PANORAMA                            ;010204                                                      ;1,00 ; $ 45.000 ;39.787,80 
0010001010205;BOOSTER TECH W5500 NIPON AM 35 DB                 ;010205                                                      ;0,00 ; $ 22.600 ;0,00 
0010001010206;CATV                                              ;010206                                                      ;0,00 ; $ 69.800 ;0,00 
0010001010207;CATV C/CONTROL TDCOM-CITIZEN                      ;010207                                                      ;0,00 ; $ 92.300 ;0,00 
0010001010208;CATV WH-200CH C/CONTROL.                          ;010208                                                      ;0,00 ; $ 87.200 ;0,00 
0010001010209;CATV ZENITH                                       ;010209                                                      ;0,00 ; $ 49.200 ;0,00 
0010001010210;VIDEO SENDER B-26 305                             ;010210                                                      ;0,00 ; $ 76.900 ;0,00 
0010001010211;CATV PIONNER                                      ;010211                                                      ;0,00 ; $ 44.100 ;0,00 
0010001010212;CATV CITIZEN 1SB 194                              ;010212                                                      ;0,00 ; $ 87.200 ;0,00 
0010001010213;CATV TECNO 6000                                   ;010213                                                      ;1,00 ; $ 59.500 ;38.461,00 
0010001010300;MEZCLADOR 4 TORNILLOS                             ;010300                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010301;MEZCLADOR AUTOMATICO                              ;010301                                                      ;0,00 ; $ 1.300 ;0,00 
0010001010302;MEZCLADOR BELMOOR BM-38 TV                        ;010302                                                      ;0,00 ; $ 1.200 ;0,00 
